mooringFull	date	depth	temp	sal	sig	O2_conc	O2_sat	chl_sens	CO2	pH	AW_frac	PW_frac
EGC-3	2016-07-10	80.155882	3.44485	35.012097	27.852759	296.240888	90.325872	NA	NA	NA	0.910024	0.089976
EGC-3	2016-07-26	83.14775	3.5155	35.00997	27.843617	295.498065	90.254478	NA	NA	NA	0.903816	0.096184
EGC-3	2016-08-11	79.792898	3.248275	34.954	27.825113	290.62303	88.149867	NA	NA	NA	0.841645	0.158355
EGC-3	2016-08-27	81.126142	4.35835	35.094596	27.823683	291.117721	90.795747	NA	NA	NA	0.988825	0.011175
EGC-3	2016-09-12	81.142956	0.082975	34.469114	27.672793	306.135948	85.427846	NA	NA	NA	0.322309	0.677691
EGC-3	2016-09-28	87.051455	-0.44305	34.379271	27.626296	314.274966	86.426176	NA	NA	NA	0.224485	0.775515
EGC-3	2016-10-14	79.875979	-1.834075	34.211242	27.540645	348.498177	92.241295	NA	NA	NA	0.058131	0.941869
EGC-3	2016-10-30	87.559811	3.898825	34.926286	27.73849	294.59649	90.756032	NA	NA	NA	0.796696	0.203304
EGC-3	2016-11-15	80.022359	1.49835	34.614178	27.697997	306.33562	88.726582	NA	NA	NA	0.468804	0.531196
EGC-3	2016-12-01	89.73663	-0.470325	34.409383	27.652048	312.828703	85.995028	NA	NA	NA	0.266211	0.733789
EGC-3	2016-12-17	83.605676	3.374825	34.828308	27.71299	302.809919	92.041853	NA	NA	NA	0.689554	0.310446
EGC-3	2017-01-02	150.135348	3.57155	35.022625	27.849141	295.355218	90.329464	NA	NA	NA	0.918553	0.081447
EGC-3	2017-01-18	86.182103	3.140025	34.946822	27.829654	304.443796	92.089133	NA	NA	NA	0.835076	0.164924
EGC-3	2017-02-03	108.644606	-0.723975	34.230212	27.517498	320.433438	87.350247	NA	NA	NA	0.052021	0.947979
EGC-3	2017-02-19	81.826388	-1.71805	33.747368	27.160395	347.376143	91.892719	NA	NA	NA	0	1
EGC-3	2017-03-07	80.02137	-1.388075	34.115505	27.449994	328.979721	88.058114	NA	NA	NA	0	1
EGC-3	2017-03-23	86.054519	1.8345	34.783132	27.811002	312.506961	91.407843	NA	NA	NA	0.671181	0.328819
EGC-3	2017-04-08	79.832461	-0.304675	34.347027	27.593759	318.284732	87.833251	NA	NA	NA	0.183527	0.816473
EGC-3	2017-04-24	221.705889	2.644625	35.033657	27.945376	309.721548	92.598929	NA	NA	NA	0.976885	0.023115
EGC-3	2017-05-10	80.99262	3.16245	35.020017	27.886382	307.138948	93.011586	NA	NA	NA	0.934047	0.065953
EGC-3	2017-05-26	90.928382	3.436125	35.040021	27.876015	307.213842	93.669999	NA	NA	NA	0.948715	0.051285
EGC-3	2017-06-11	85.888363	0.8623	34.571796	27.708653	306.957292	87.465026	NA	NA	NA	0.429962	0.570038
EGC-3	2017-06-27	128.889699	3.6118	35.024951	27.846491	303.258183	92.841595	NA	NA	NA	0.919865	0.080135
EGC-3	2017-07-13	78.652513	3.660825	35.040392	27.853878	303.067107	92.912869	NA	NA	NA	0.93875	0.06125
EGC-4	2017-08-05	95.702242	3.2672	34.955899	27.825325	NA	NA	NA	NA	NA	0.843561	0.156439
EGC-4	2017-08-21	89.658499	-1.34175	34.06487	27.407298	319.19724	85.508981	NA	NA	NA	0	1
EGC-4	2017-09-06	92.718469	-1.3662	34.126478	27.458191	322.501624	86.379377	NA	NA	NA	0	1
EGC-4	2017-09-22	76.916702	0.616	34.510846	27.676656	294.264831	83.275352	NA	NA	NA	0.361852	0.638148
EGC-4	2017-10-08	78.1382	3.79685	34.88056	27.712532	287.555434	88.340184	NA	NA	NA	0.74408	0.25592
EGC-4	2017-10-24	76.389527	2.17395	34.56022	27.605747	301.577844	88.813714	NA	NA	NA	0.392124	0.607876
EGC-4	2017-11-09	76.14028	1.58945	34.48309	27.588813	302.952928	87.863533	NA	NA	NA	0.310933	0.689067
EGC-4	2017-11-25	75.914771	3.79935	34.937677	27.757974	302.651918	93.024767	NA	NA	NA	0.812092	0.187908
EGC-4	2017-12-11	131.766153	3.9783	35.048443	27.827961	298.8339	92.317096	NA	NA	NA	0.940797	0.059203
EGC-4	2017-12-27	77.443876	2.27405	34.829992	27.813512	315.147327	93.233547	NA	NA	NA	0.714936	0.285064
EGC-4	2018-01-12	86.137597	3.2228	34.938156	27.815372	301.314161	91.324803	NA	NA	NA	0.823232	0.176768
EGC-4	2018-01-28	76.085881	2.4539	34.83383	27.801268	309.421449	91.95129	NA	NA	NA	0.713017	0.286983
EGC-4	2018-02-13	79.411122	-0.60105	34.382407	27.63659	299.091895	81.920475	NA	NA	NA	0.23532	0.76468
EGC-4	2018-03-01	85.695502	2.30325	34.920564	27.883371	312.807317	92.67352	NA	NA	NA	0.837748	0.162252
EGC-4	2018-03-17	76.305455	2.81065	34.980346	27.887242	307.88692	92.409697	NA	NA	NA	0.896058	0.103942
EGC-4	2018-04-02	117.859126	1.01365	34.719293	27.814551	298.014325	85.381336	NA	NA	NA	0.621921	0.378079
EGC-4	2018-04-18	86.58068	0.52035	34.582707	27.740252	307.171591	86.763766	NA	NA	NA	0.457658	0.542342
EGC-4	2018-05-04	76.33216	0.7813	34.704939	27.822682	293.770986	83.614859	NA	NA	NA	0.613072	0.386928
