mooringFull	date	depth	temp	sal	sig	O2_conc	O2_sat	chl_sens	CO2	pH	AW_frac	PW_frac
F4-S-5	2021-06-09	26.847988	3.9327	34.870407	27.690328	NA	NA	2.3725	338.8	8.1879	0.729492	0.270508
F4-S-5	2021-06-09	26.481939	3.9125	34.869913	27.692025	NA	NA	1.46365	331	NA	0.729273	0.270727
F4-S-5	2021-06-09	25.318491	3.90255	34.871858	27.694595	NA	NA	1.46365	322.45	8.1803	0.731773	0.268227
F4-S-5	2021-06-09	24.0843	3.90485	34.876847	27.69832	NA	NA	1.1972	324.35	8.1803	0.737676	0.262324
F4-S-5	2021-06-09	23.333889	3.9195	34.880737	27.699892	NA	NA	1.1972	330.25	NA	0.742042	0.257958
F4-S-5	2021-06-09	22.974264	3.98605	34.8905	27.700717	NA	NA	1.31035	332.35	8.1753	0.752456	0.247544
F4-S-5	2021-06-09	22.842682	4.0198	34.89777	27.702984	NA	NA	1.31035	333.8	8.1753	0.760499	0.239501
F4-S-5	2021-06-09	22.888686	3.93805	34.876298	27.694406	NA	NA	1.46	330.05	NA	0.736412	0.263588
F4-S-5	2021-06-09	23.061821	3.8824	34.86088	27.687921	NA	NA	1.46	320.3	8.1832	0.719061	0.280939
F4-S-5	2021-06-09	23.350213	3.6723	34.848243	27.698966	NA	NA	3.61715	327.55	8.1832	0.707855	0.292145
F4-S-5	2021-06-09	23.842903	3.24145	34.764046	27.673976	NA	NA	3.61715	322	NA	0.615427	0.384573
F4-S-5	2021-06-09	24.228249	2.91245	34.662299	27.623557	NA	NA	8.9352	298.85	8.2226	0.500219	0.499781
F4-S-5	2021-06-09	24.343506	2.86825	34.646146	27.614712	NA	NA	8.9352	292.2	8.2226	0.481783	0.518217
F4-S-5	2021-06-09	24.251004	2.9742	34.675093	27.628232	NA	NA	7.6285	293.95	NA	0.514333	0.485667
F4-S-5	2021-06-09	24.082817	3.2818	34.777439	27.68061	NA	NA	7.6285	322.75	8.1415	0.630646	0.369354
