yyyy	mm	dd	HG-IV	F4	EGC
2016	5	1	0	0	100
2016	5	2	0	0	96.878965
2016	5	3	0	0	96.321097
2016	5	4	0	0	89.569616
2016	5	5	0	0	62.52225
2016	5	6	0	0	43.232083
2016	5	7	0	0	80.040624
2016	5	8	0	0	71.225746
2016	5	9	0	0	74.103746
2016	5	10	0	0	61.951682
2016	5	11	0	0	70.750878
2016	5	12	0	0	11.193199
2016	5	13	0	0	26.274941
2016	5	14	0	0	16.049893
2016	5	15	0	0	49.190567
2016	5	16	0	0	75.611094
2016	5	17	0	0	54.958648
2016	5	18	0	0	64.057615
2016	5	19	0	0	13.694144
2016	5	20	0	0	67.23882
2016	5	21	0	0	86.05099
2016	5	22	0	0	51.026826
2016	5	23	0	0	44.437829
2016	5	24	0	0	46.988443
2016	5	25	0	0	48.606492
2016	5	26	0	0	74.957542
2016	5	27	0	0	40.648152
2016	5	28	0	0	32.769822
2016	5	29	0	0	67.181629
2016	5	30	0	0	43.347076
2016	5	31	0	0	24.618869
2016	6	1	0	0	51.697356
2016	6	2	0	0	53.865135
2016	6	3	0	0	45.54961
2016	6	4	0	0	20.978232
2016	6	5	0	0	36.716963
2016	6	6	0	0	47.7364
2016	6	7	0	0	72.441067
2016	6	8	0	0	73.162593
2016	6	9	0	0	84.609581
2016	6	10	0	0	81.938722
2016	6	11	0	0	84.929461
2016	6	12	0	0	69.303554
2016	6	13	0	0	70.780887
2016	6	14	0	0	67.390095
2016	6	15	0	0	46.371457
2016	6	16	0	0	98.459752
2016	6	17	0	0	88.791187
2016	6	18	0	0	89.62638
2016	6	19	0	0	60.628704
2016	6	20	0	0	71.652109
2016	6	21	0	0	83.26267
2016	6	22	3.572841	0	71.225704
2016	6	23	3.186129	0	50.883226
2016	6	24	0.634648	0	45.450778
2016	6	25	0.597141	0	71.753415
2016	6	26	0	0	68.690599
2016	6	27	0	0	29.874515
2016	6	28	1.839525	0	31.08409
2016	6	29	1.415052	0	41.194065
2016	6	30	0	0	64.288395
2016	7	1	0	0	65.20608
2016	7	2	0	0	42.243864
