date	sample_id	PANGAEA_event	sample	type	gear	lat	lon	numeric_depth	depth_category	Watermass1	Watermass2	depth_or_watermass	sample_title	locus_tag	cycles	reads	clip_id	miseq_ID	seq_fwd	seq_rev	running_id	bottle_id	Niskin_id	PotentialTemperature	PracticalSalinity	InsituTemperature	PrDM	DepSM	Sbeox0_umol/L	Sbeox1_umol/L	FlECO-AFL	CO2_umol/L	CO2_umol/L_umolkg	NO3+NO2_c_mean	NO3+NO2_c_std	NO2_c_mean	NO2_c_std	SiOH4_c_mean	SiOH4_c_std	PO4_c_mean	PO4_c_std	NH4_c_mean	NH4_c_std	TDN_c_mean	TDN_c_std	TDP_c_mean	TDP_c_std	NO3+NO2_c_mean_umolkg	NO3+NO2_c_std_umolkg	NO2_c_mean_umolkg	NO2_c_std_umolkg	SiOH4_c_mean_umolkg	SiOH4_c_std_umolkg	PO4_c_mean_umolkg	PO4_c_std_umolkg	NH4_c_mean_umolkg	NH4_c_std_umolkg	TDN_c_mean_umolkg	TDN_c_std_umolkg	TDP_c_mean_umolkg	TDP_c_std_umolkg
2023-09-18	CTD_356	PS138_205-1	Transect_60E_10	seawater	CTD	86.330173	60.061745	2765	bottom+5	EBBW	NA	EBBW	PS138-205-1-CTD-2765-16S	16S	25	258592	PS138-205-1-CTD-2765-16S_clip	L9424	PS138-205-1-CTD-2765-16S_clip_R1_001.fastq.gz	PS138-205-1-CTD-2765-16S_clip_R2_001.fastq.gz	180	1	PS138_205-1-N1	-0.90062	34.93	-0.7487	2814.078	2765.427	287.99	292.11	-0.0549	302	293.577	15.368	0.01	0.003	0	11.683	0.003	1.011	0.001	-0.004	0.006	17.064	0.047	0.994	0.002	14.993	0.01	0.003	0	11.398	0.003	0.986	0.001	-0.004	0.006	16.648	0.046	0.97	0.002
2023-09-18	CTD_376	PS138_206-1	Transect_60E_11	seawater	CTD	85.999172	60.435695	200	200	AW2	NA	AW2	PS138-206-1-CTD-200-16S	16S	25	289858	PS138-206-1-CTD-200-16S_clip	L9424	PS138-206-1-CTD-200-16S_clip_R1_001.fastq.gz	PS138-206-1-CTD-200-16S_clip_R2_001.fastq.gz	190	9	PS138_206-1-N9	1.5657	34.849	1.5759	202.313	200.048	294.83	296.65	-0.056	306	297.517	12.921	0.006	0.005	0	5.467	0.003	0.841	0.001	-0.012	0	15.096	0.004	0.838	0.002	12.606	0.006	0.005	0	5.334	0.003	0.821	0.001	-0.012	0	14.728	0.004	0.818	0.002
2023-09-18	CTD_364	PS138_205-1	Transect_60E_10	seawater	CTD	86.330173	60.061745	200	200	AW1	NA	AW1	PS138-205-1-CTD-200-16S	16S	25	127220	PS138-205-1-CTD-200-16S_clip	L9424	PS138-205-1-CTD-200-16S_clip_R1_001.fastq.gz	PS138-205-1-CTD-200-16S_clip_R2_001.fastq.gz	184	13	PS138_205-1-N13	1.4192	34.84	1.4292	202.472	200.204	294.57	296.03	-0.0549	305.2	296.747	12.357	0.014	0.007	0	4.934	0.002	0.815	0.01	-0.036	0.006	14.731	0.014	0.82	0.003	12.056	0.014	0.007	0	4.814	0.002	0.795	0.01	-0.035	0.006	14.372	0.014	0.8	0.003
2023-09-18	CTD_366	PS138_205-1	Transect_60E_10	seawater	CTD	86.330173	60.061745	100	100	LHC	NA	LHC	PS138-205-1-CTD-100-16S	16S	25	41541	PS138-205-1-CTD-100-16S_clip	L9424	PS138-205-1-CTD-100-16S_clip_R1_001.fastq.gz	PS138-205-1-CTD-100-16S_clip_R2_001.fastq.gz	185	16	PS138_205-1-N16	-0.55329	34.45	-0.5502	101.941	100.824	313.65	315.92	-0.0199	316.8	308.1	9.882	0.021	0.01	0	3.689	0.002	0.689	0.001	-0.041	0	12.638	0.007	0.712	0.003	9.644	0.02	0.01	0	3.6	0.002	0.672	0.001	-0.04	0	12.334	0.007	0.695	0.003
2023-09-18	CTD_378	PS138_206-1	Transect_60E_11	seawater	CTD	85.999172	60.435695	100	100	LHC	NA	LHC	PS138-206-1-CTD-100-16S	16S	25	98383	PS138-206-1-CTD-100-16S_clip	L9424	PS138-206-1-CTD-100-16S_clip_R1_001.fastq.gz	PS138-206-1-CTD-100-16S_clip_R2_001.fastq.gz	191	14	PS138_206-1-N14	-1.7798	34.269	-1.778	100.729	99.625	359.03	362.15	0.03	368.5	358.397	3.936	0.004	0.017	0	1.488	0.001	0.344	0.001	0.001	0.002	7.339	0.003	0.377	0.005	3.842	0.004	0.017	0	1.452	0.001	0.336	0.001	0.001	0.002	7.163	0.003	0.368	0.005
2023-09-18	CTD_372	PS138_205-1	Transect_60E_10	seawater	CTD	86.330173	60.061745	10	10	ML	PSW	ML	PS138-205-1-CTD-10-16S	16S	25	144416	PS138-205-1-CTD-10-16S_clip	L9424	PS138-205-1-CTD-10-16S_clip_R1_001.fastq.gz	PS138-205-1-CTD-10-16S_clip_R2_001.fastq.gz	188	24	PS138_205-1-N24	-1.7872	32.972	-1.787	10.066	9.958	371.18	373.74	0.2163	382.3	372.21	0.611	0.001	0.024	0	1.35	0.004	0.174	0.001	0.099	0.002	4.858	0.023	0.235	0.004	0.597	0.001	0.023	0	1.319	0.004	0.17	0.001	0.097	0.002	4.746	0.022	0.23	0.004
2023-09-18	CTD_368	PS138_205-1	Transect_60E_10	seawater	CTD	86.330173	60.061745	50	50	PSW	LHC	PSW	PS138-205-1-CTD-50-16S	16S	25	113290	PS138-205-1-CTD-50-16S_clip	L9424	PS138-205-1-CTD-50-16S_clip_R1_001.fastq.gz	PS138-205-1-CTD-50-16S_clip_R2_001.fastq.gz	186	19	PS138_205-1-N19	-1.6988	34.148	-1.6979	50.475	49.927	354.39	357.69	0.1549	365.9	355.905	3.839	0.005	0.03	0	1.804	0	0.346	0.003	-0.043	0.002	7.493	0.015	0.388	0.003	3.748	0.005	0.029	0	1.761	0	0.338	0.003	-0.042	0.002	7.314	0.015	0.379	0.003
2023-09-18	CTD_370	PS138_205-1	Transect_60E_10	seawater	CTD	86.330173	60.061745		chl-max	ML	PSW	ML	PS138-205-1-CTD-chlmax-16S	16S	25	195393	PS138-205-1-CTD-chlmax-16S_clip	L9424	PS138-205-1-CTD-chlmax-16S_clip_R1_001.fastq.gz	PS138-205-1-CTD-chlmax-16S_clip_R2_001.fastq.gz	187	22	PS138_205-1-N22	-1.7809	33.003	-1.7805	19.644	19.432	371.24	373.21	0.2088	380.4	370.351	1.086	0.001	0.047	0	1.432	0.001	0.199	0.001	0.092	0.003	5.291	0.004	0.263	0.001	1.061	0.001	0.046	0	1.399	0.001	0.194	0.001	0.09	0.003	5.169	0.004	0.257	0.001
2023-09-18	CTD_380	PS138_206-1	Transect_60E_11	seawater	CTD	85.999172	60.435695	50	50	PSW	LHC	PSW	PS138-206-1-CTD-50-16S	16S	25	136026	PS138-206-1-CTD-50-16S_clip	L9424	PS138-206-1-CTD-50-16S_clip_R1_001.fastq.gz	PS138-206-1-CTD-50-16S_clip_R2_001.fastq.gz	192	17	PS138_206-1-N17	-1.7741	34.221	-1.7732	50.804	50.253	364.23	366.8	0.1985	374.1	363.855	3.531	0.004	0.075	0	1.445	0.001	0.317	0.001	-0.021	0	7.027	0.001	0.353	0	3.447	0.004	0.073	0	1.41	0.001	0.309	0.001	-0.02	0	6.859	0.001	0.345	0
2023-09-18	CTD_360	PS138_205-1	Transect_60E_10	seawater	CTD	86.330173	60.061745	1000	1000	AIW	NA	AIW	PS138-205-1-CTD-1000-16S	16S	25	292692	PS138-205-1-CTD-1000-16S_clip	L9424	PS138-205-1-CTD-1000-16S_clip_R1_001.fastq.gz	PS138-205-1-CTD-1000-16S_clip_R2_001.fastq.gz	182	5	PS138_205-1-N5	-0.18345	34.908	-0.13965	1013.859	1000.55	296.64	298.77	-0.0554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
